"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","507.00","510.25","512.00","506.00","40.23K","-0.73%"
"12/30/2025","510.75","512.75","515.50","510.00","36.30K","-0.44%"
"12/29/2025","513.00","518.00","521.00","512.00","43.20K","-1.16%"
"12/26/2025","519.00","522.50","524.50","517.00","38.02K","-0.53%"
"12/24/2025","521.75","518.50","525.00","518.00","33.00K","0.92%"
"12/23/2025","517.00","514.25","518.75","513.75","41.46K","0.29%"
"12/22/2025","515.50","511.00","518.25","510.00","43.61K","1.13%"
"12/19/2025","509.75","507.75","511.25","505.50","58.22K","0.39%"
"12/18/2025","507.75","507.75","510.75","505.50","82.03K","0.30%"
"12/17/2025","506.25","510.75","511.50","504.00","93.08K","-0.64%"
"12/16/2025","509.50","521.00","522.25","507.50","116.62K","-2.16%"
"12/15/2025","520.75","529.50","529.50","519.50","79.49K","-2.57%"
"12/12/2025","534.50","534.50","534.50","534.50","0.00K","0.00%"
"12/11/2025","534.50","534.50","534.50","534.50","0.01K","0.61%"
"12/10/2025","531.25","526.50","530.25","526.50","0.03K","-0.93%"
"12/09/2025","536.25","535.50","535.50","535.00","0.01K","0.05%"
"12/08/2025","536.00","536.00","541.25","536.00","0.03K","0.05%"
"12/05/2025","535.75","539.75","541.75","534.25","48.90K","-0.83%"
"12/04/2025","540.25","538.75","541.75","531.50","57.14K","0.37%"
"12/03/2025","538.25","541.00","542.50","537.25","46.73K","-0.51%"
"12/02/2025","541.00","535.00","544.50","529.75","75.31K","1.12%"
"12/01/2025","535.00","539.00","541.75","532.50","61.05K","-0.65%"
"11/28/2025","538.50","540.50","542.75","534.75","23.91K","-0.46%"
"11/27/2025","541.00","541.00","541.25","541.00","","0.09%"
"11/26/2025","540.50","538.50","544.75","535.75","72.21K","0.23%"
"11/25/2025","539.25","534.75","540.50","532.50","69.58K","0.84%"
"11/24/2025","534.75","540.75","541.75","531.75","61.42K","-0.93%"
"11/21/2025","539.75","541.50","545.00","535.75","69.72K","-0.18%"
"11/20/2025","540.75","549.25","555.25","539.75","76.65K","-1.59%"
"11/19/2025","549.50","558.75","562.50","548.50","68.04K","-1.70%"
"11/18/2025","559.00","558.00","563.25","554.50","75.64K","0.09%"
"11/17/2025","558.50","541.00","559.75","540.50","91.65K","5.93%"
"11/14/2025","527.25","535.75","544.50","524.50","85.22K","-1.59%"
"11/13/2025","535.75","536.25","539.25","530.75","92.76K","-0.05%"
"11/12/2025","536.00","536.00","536.75","527.50","95.69K","0.00%"
"11/11/2025","536.00","535.75","539.00","531.25","80.36K","0.05%"
"11/10/2025","535.75","528.00","537.25","527.50","92.41K","1.52%"
"11/07/2025","527.75","535.50","537.50","526.25","127.66K","-1.45%"
"11/06/2025","535.50","552.75","554.50","534.50","119.14K","-3.47%"
"11/05/2025","554.75","549.50","555.00","546.25","72.20K","0.82%"
"11/04/2025","550.25","542.75","550.50","539.75","116.42K","1.24%"
"11/03/2025","543.50","534.00","545.00","531.25","145.87K","1.78%"
"10/31/2025","534.00","524.25","534.25","517.25","111.38K","1.86%"
"10/30/2025","524.25","533.25","535.50","520.25","101.55K","-1.50%"
"10/29/2025","532.25","528.50","533.75","526.75","90.09K","0.61%"
"10/28/2025","529.00","524.00","535.00","524.00","105.30K","0.57%"
"10/27/2025","526.00","517.00","530.50","516.75","109.47K","2.63%"
"10/24/2025","512.50","512.00","515.50","509.75","59.01K","-0.10%"
"10/23/2025","513.00","504.75","513.50","502.50","58.19K","1.84%"
"10/22/2025","503.75","501.75","505.50","498.25","45.47K","0.70%"
"10/21/2025","500.25","504.75","506.25","498.00","41.04K","-0.89%"
"10/20/2025","504.75","505.00","507.25","502.00","37.58K","0.20%"
"10/17/2025","503.75","502.25","505.00","500.25","38.18K","0.25%"
"10/16/2025","502.50","500.00","503.75","495.25","53.29K","0.75%"
"10/15/2025","498.75","501.00","501.25","494.75","57.00K","-0.30%"
"10/14/2025","500.25","498.50","501.75","492.25","65.74K","0.70%"
"10/13/2025","496.75","499.25","501.75","494.50","","-0.35%"
"10/10/2025","498.50","508.50","509.50","496.75","63.51K","-1.58%"
"10/09/2025","506.50","508.00","513.50","506.50","79.09K","-0.15%"
"10/08/2025","507.25","507.00","508.75","503.75","44.07K","0.10%"
"10/07/2025","506.75","513.00","514.25","505.75","53.56K","-1.17%"
"10/06/2025","512.75","515.25","518.25","512.00","49.99K","-0.49%"
